2013-07-05 12:21:00,Expired Tags
2014-02-11 11:14:00,Expired Tags
2014-02-12 20:46:00,All Other Stopping or Parking Violations
2014-03-04 14:17:00,Expired Tags
2014-04-04 04:32:00,All Other Stopping or Parking Violations
2014-04-04 04:35:00,All Other Stopping or Parking Violations
2014-04-04 04:38:00,All Other Stopping or Parking Violations
2014-04-04 04:38:00,All Other Stopping or Parking Violations
2014-04-08 17:04:00,All Other Stopping or Parking Violations
2014-04-08 17:06:00,All Other Stopping or Parking Violations
2014-04-08 17:07:00,All Other Stopping or Parking Violations
2014-04-08 17:09:00,All Other Stopping or Parking Violations
2014-04-08 17:10:00,All Other Stopping or Parking Violations
2014-04-08 17:12:00,All Other Stopping or Parking Violations
2014-04-08 17:14:00,Expired Tags
2014-04-08 17:16:00,All Other Stopping or Parking Violations
2014-04-08 17:17:00,All Other Stopping or Parking Violations
2014-04-10 04:37:00,All Other Stopping or Parking Violations
2014-04-10 04:39:00,All Other Stopping or Parking Violations
2014-04-10 04:43:00,All Other Stopping or Parking Violations
2014-04-10 04:46:00,All Other Stopping or Parking Violations
2014-04-18 02:26:00,All Other Stopping or Parking Violations
2014-04-18 02:28:00,All Other Stopping or Parking Violations
2014-04-18 02:29:00,All Other Stopping or Parking Violations
2014-04-18 02:31:00,All Other Stopping or Parking Violations
2014-05-20 13:51:00,Expired Tags
2014-05-27 11:52:00,Exceeding 48 Hours
2014-07-18 14:31:00,Exceeding 48 Hours
2014-11-08 20:28:00,All Other Stopping or Parking Violations
2014-11-08 20:30:00,All Other Stopping or Parking Violations
2014-11-08 20:31:00,All Other Stopping or Parking Violations
2014-11-08 20:33:00,All Other Stopping or Parking Violations
2014-11-08 20:34:00,All Other Stopping or Parking Violations
2014-11-08 20:35:00,All Other Stopping or Parking Violations
2014-11-08 20:38:00,All Other Stopping or Parking Violations
2014-11-08 20:39:00,All Other Stopping or Parking Violations
2014-11-08 20:39:00,All Other Stopping or Parking Violations
2014-11-08 20:40:00,All Other Stopping or Parking Violations
2014-12-12 10:24:00,All Other Stopping or Parking Violations
2014-12-12 10:26:00,All Other Stopping or Parking Violations
2014-12-12 10:40:00,Expired Tags
